[train epoch=0 slice=5 indices=[489, 572, 839, 32, 710, 685, 632, 263, 594, 379, 449, 643, 225, 169, 806, 802, 111, 639, 741, 790]]
fes=50	x=[1.4999,1.7172,-0.8190,-1.3235,-0.6657,-3.1019,-2.8233,2.5651,0.7403,-0.5377,-1.0936,2.0533,0.2009,0.7391,1.8228,-3.4379,2.9788,-3.6926,3.7524,-1.2352]	y=92.3298
fes=1150	x=[-0.0942,-2.1941,2.0240,1.3653,-0.0390,0.6361,1.2208,-1.4349,-0.1947,-1.0127,-0.7202,0.3269,-0.4951,0.6592,-0.5552,-0.1249,-1.4916,-0.6287,0.3627,-0.4335]	y=20.3710
fes=1200	x=[-0.0942,-2.1941,2.0240,1.3653,-0.0390,0.6361,1.2208,-1.4349,-0.1947,-1.0127,-0.7202,0.3269,-0.4951,0.6592,-0.5552,-0.1249,-1.4916,-0.6287,0.3627,-0.4335]	y=20.3710
fes=1250	x=[-0.0942,-2.1941,2.0240,1.3653,-0.0390,0.6361,1.2208,-1.4349,-0.1947,-1.0127,-0.7202,0.3269,-0.4951,0.6592,-0.5552,-0.1249,-1.4916,-0.6287,0.3627,-0.4335]	y=20.3710
fes=1300	x=[-0.6309,-2.2915,1.6435,1.3653,-0.0390,0.6712,0.9317,-1.4349,-0.1947,-1.2570,-0.7202,0.3269,-0.4951,0.6592,-0.6159,-0.1249,-1.4916,-0.6287,0.3627,-0.4335]	y=19.8508
fes=1350	x=[-0.5106,-2.2799,1.3444,1.3989,0.1077,0.5330,0.9934,-1.6204,-0.1858,-1.0202,-0.7488,0.1583,-0.4951,0.6480,-0.7961,-0.1156,-1.3859,-0.6287,0.3627,-0.6457]	y=18.9688
fes=1400	x=[-0.4151,-0.9354,-0.2136,1.5551,-0.3182,1.1887,0.5651,-0.4923,2.4052,0.5478,0.6982,0.0359,-0.8383,-0.5822,-0.0414,-0.4782,-1.8700,0.2650,-0.9494,-0.3733]	y=18.0407
fes=1450	x=[0.9115,-0.7746,-0.8745,1.7933,0.2798,1.6555,0.9340,-0.6700,-0.6288,0.6286,-0.9829,-0.4898,-0.9768,0.1263,-0.0432,1.0648,-1.4560,1.3745,-0.1346,0.0216]	y=17.6820
fes=1500	x=[0.9115,-0.7746,-0.8745,1.7933,0.2798,1.6555,0.9340,-0.6700,-0.6288,0.6286,-0.9829,-0.4898,-0.9768,0.1263,-0.0432,1.0648,-1.4560,1.3745,-0.1346,0.0216]	y=17.6820
fes=1550	x=[0.9115,-0.7746,-0.8745,1.7933,0.2798,1.6555,0.9340,-0.6700,-0.6288,0.6286,-0.9829,-0.4898,-0.9768,0.1263,-0.0432,1.0648,-1.4560,1.3745,-0.1346,0.0216]	y=17.6820
fes=1600	x=[-0.4000,-1.1001,-0.2136,1.5551,-0.3182,1.1887,0.5651,-0.4923,1.6152,0.5478,0.6982,0.1662,-0.3702,-0.5822,-0.8159,-0.4782,-1.4866,0.2650,-0.5622,-0.3733]	y=13.4403
fes=1650	x=[-0.4000,-1.1001,-0.2136,1.5551,-0.3182,1.1887,0.5651,-0.4923,1.6152,0.5478,0.6982,0.1662,-0.3702,-0.5822,-0.8159,-0.4782,-1.4866,0.2650,-0.5622,-0.3733]	y=13.4403
fes=1700	x=[-0.4000,-1.1001,-0.2136,1.5551,-0.3182,1.1887,0.5651,-0.4923,1.6152,0.5478,0.6982,0.1662,-0.3702,-0.5822,-0.8159,-0.4782,-1.4866,0.2650,-0.5622,-0.3733]	y=13.4403
fes=1750	x=[-0.4000,-1.1001,-0.2136,1.5551,-0.3182,1.1887,0.5651,-0.4923,1.6152,0.5478,0.6982,0.1662,-0.3702,-0.5822,-0.8159,-0.4782,-1.4866,0.2650,-0.5622,-0.3733]	y=13.4403
fes=1800	x=[-0.4000,-1.3129,0.0214,1.7163,-0.1851,1.1515,0.2006,-0.3565,1.4672,0.5478,0.6982,0.7720,-0.3702,-0.3669,-0.5477,-0.4366,-1.2163,0.1372,-0.4390,-0.2632]	y=12.4162
fes=1850	x=[-0.2031,-1.1251,0.7752,1.4365,0.4538,0.6699,-0.3450,0.0773,0.6973,-0.3113,0.0196,0.0649,0.2904,-0.0149,-0.9137,-0.1156,-0.8012,-0.6886,0.2101,-0.0183]	y=7.4321
fes=1900	x=[-0.2088,-1.1251,0.8928,1.2290,0.4538,0.6699,-0.2735,0.0773,0.6973,-0.3113,0.0196,0.0649,0.2904,-0.0149,-0.9137,-0.1156,-0.8012,-0.6886,0.2101,-0.0183]	y=7.0335
fes=1950	x=[-0.2088,-1.1251,0.8928,1.2290,0.4538,0.6699,-0.2735,0.0773,0.6973,-0.3113,0.0196,0.0649,0.2904,-0.0149,-0.9137,-0.1156,-0.8012,-0.6886,0.2101,-0.0183]	y=7.0335
fes=2000	x=[-0.2088,-1.1251,0.8928,1.2290,0.4538,0.6699,-0.2735,0.0773,0.6973,-0.3113,0.0196,0.0649,0.2904,-0.0149,-0.9137,-0.1156,-0.8012,-0.6886,0.2101,-0.0183]	y=7.0335
fes=50	x=[-0.5724,-2.3859,-3.3518,0.4118,-3.0538,-2.2654,-1.2504,-0.0722,-0.7793,1.0834,-2.9595,-2.2478,4.1443,-2.0143,-1.2886,-2.4672,0.2210,4.0923,-0.5294,-3.9226]	y=110.4859
fes=100	x=[-0.5724,-2.3859,-3.3518,0.4118,-3.0538,-2.2654,-1.2504,-0.0722,-0.7793,1.0834,-2.9595,-2.0737,4.1443,-2.0143,-1.2886,-2.4672,0.2210,4.0923,-0.5294,-3.9226]	y=109.7335
fes=150	x=[-2.3275,1.2745,-2.2864,0.0216,-1.8784,-1.4024,3.9637,1.9197,1.2937,0.6726,1.5264,4.1116,1.4761,-0.3519,-0.1534,0.6340,4.5681,-1.6814,2.1831,0.4054]	y=89.8758
fes=200	x=[-3.1039,2.0505,2.2457,0.5783,0.3026,-0.6821,3.4838,-0.8872,3.3823,1.4842,2.2240,-0.8382,-0.1657,-0.9163,0.9936,-1.0983,-0.3275,2.3327,1.2943,-1.9931]	y=66.2462
fes=250	x=[-3.1039,2.0505,2.2457,0.5783,0.3026,-0.6821,3.4838,-0.8872,3.3823,1.4842,2.2240,-0.8382,-0.1657,-0.9163,0.9936,-1.0983,-0.3275,2.3327,1.2943,-1.9931]	y=66.2462
fes=300	x=[-3.1039,2.0505,2.2457,0.5783,0.3026,-0.6821,3.4838,-0.8872,3.3823,1.4842,2.2240,-0.8382,-0.1657,-0.9163,0.9936,-1.0983,-0.3275,2.3327,1.2943,-1.9931]	y=66.2462
fes=350	x=[-3.1039,2.0505,2.2457,0.5783,0.3026,-0.6821,3.4838,-0.8872,3.3823,1.4842,2.2240,-0.8382,-0.1657,-0.9163,0.9936,-1.0983,-0.3275,2.3327,1.2943,-1.9931]	y=66.2462
fes=400	x=[-3.1039,2.0505,2.2457,0.5783,0.3026,-0.6821,3.4838,-0.8872,3.3823,1.4842,2.2240,-0.8382,-0.1657,-0.9163,0.9936,-1.0983,-0.3275,2.3327,1.2943,-1.9931]	y=66.2462
fes=450	x=[-0.1510,1.9607,-1.5725,-2.6993,-1.9437,-0.6006,-1.7732,3.9145,-1.1761,-0.4854,0.3522,0.5701,1.9917,-2.4878,-0.4958,-2.0461,-1.4677,1.0408,-0.7963,-1.4691]	y=58.9182
fes=500	x=[-0.1510,1.9607,-1.5725,-2.6993,-1.9437,-0.6006,-1.7732,3.9145,-1.1761,-0.4854,0.3522,0.5701,1.9917,-2.4878,-0.4958,-2.0461,-1.4677,1.0408,-0.7963,-1.4691]	y=58.9182
fes=550	x=[-2.8261,1.9607,-0.9840,-2.3337,-1.9437,-0.6006,-1.7732,1.9511,-1.1761,-0.4854,0.3522,0.5701,1.9917,-2.8261,-0.4958,-0.9672,-1.4677,-0.6270,-1.2153,1.1133]	y=49.8020
fes=600	x=[-2.8261,1.9607,-0.9840,-2.3337,-1.9437,-0.6006,-1.7732,1.9511,-1.1761,-0.4854,0.3522,0.5701,1.9917,-2.8261,-0.4958,-0.9672,-1.4677,-0.6270,-1.2153,1.1133]	y=49.8020
