[train epoch=0 slice=10 indices=[406, 185, 115, 90, 840, 996, 808, 408, 727, 271, 163, 166, 108, 671, 156, 509, 396, 847, 701, 473]]
fes=50	x=[-3.7259,-1.3103,-1.6247,-0.7438,3.1574,-2.3621,-0.8109,2.9911,-0.6988,-1.3220,-4.3845,0.5682,0.3409,0.8310,-1.3363,-1.4201,-1.9783,0.3099,-0.5546,1.9332]	y=78.3928
fes=1550	x=[0.0802,0.1773,-0.1457,0.2314,0.8095,0.3331,0.4168,0.4993,-0.0667,0.9100,-0.3175,0.1679,0.5761,0.6198,0.0412,0.0912,-0.2351,-0.4289,0.5576,-0.3094]	y=3.6355
fes=1600	x=[0.0802,0.1773,-0.1457,0.2314,0.8095,0.3331,0.4168,0.4993,-0.0667,0.9100,-0.3175,0.1679,0.5761,0.6198,0.0412,0.0912,-0.2351,-0.4289,0.5576,-0.3094]	y=3.6355
fes=1650	x=[0.0802,0.1773,-0.1457,0.2314,0.8095,0.3331,0.4168,0.4993,-0.0667,0.9100,-0.3175,0.1679,0.5761,0.6198,0.0412,0.0912,-0.2351,-0.4289,0.5576,-0.3094]	y=3.6355
fes=1700	x=[0.0802,0.1773,-0.1457,0.2314,0.8095,0.3331,0.4168,0.4993,-0.0667,0.9100,-0.3175,0.1679,0.5761,0.6198,0.0412,0.0912,-0.2351,-0.4289,0.5576,-0.3094]	y=3.6355
fes=1750	x=[0.0802,0.1773,-0.1457,0.2314,0.8095,0.3331,0.4168,0.4993,-0.0667,0.9100,-0.3175,0.1679,0.5761,0.6198,0.0412,0.0912,-0.2351,-0.4289,0.5576,-0.3094]	y=3.6355
fes=1800	x=[0.0802,0.1773,-0.1457,0.2314,0.8095,0.3331,0.4168,0.4993,-0.0667,0.9100,-0.3175,0.1679,0.5761,0.6198,0.0412,0.0912,-0.2351,-0.4289,0.5576,-0.3094]	y=3.6355
fes=1850	x=[0.0802,0.1773,-0.1457,0.2314,0.8095,0.3331,0.4168,0.4993,-0.0667,0.9100,-0.3175,0.1679,0.5761,0.6198,0.0412,0.0912,-0.2351,-0.4289,0.5576,-0.3094]	y=3.6355
fes=1900	x=[0.0802,0.1773,-0.1457,0.2314,0.8095,0.3331,0.4168,0.4993,-0.0667,0.9100,-0.3175,0.1679,0.5761,0.6198,0.0412,0.0912,-0.2351,-0.4289,0.5576,-0.3094]	y=3.6355
fes=1950	x=[0.0690,-0.5352,0.0101,0.4664,0.2879,1.0365,-0.1125,0.1283,0.3660,0.1888,0.5021,0.2543,0.1771,0.2225,0.7680,0.3178,0.1927,0.4083,0.5180,0.2292]	y=3.4780
fes=2000	x=[0.0690,-0.5352,0.0101,0.4664,0.2879,1.0365,-0.1125,0.1283,0.3660,0.1888,0.5021,0.2543,0.1771,0.2225,0.7680,0.3178,0.1927,0.4083,0.5180,0.2292]	y=3.4780
fes=50	x=[-1.1362,-1.1960,-0.9536,0.2177,2.7778,-1.0273,-3.4473,1.5563,-2.9038,-0.1516,0.8012,-3.9450,-3.4992,1.1989,-0.3557,-1.1592,2.7628,-3.9420,1.2680,-0.4124]	y=91.5179
fes=100	x=[-1.1362,-1.1960,-0.9536,0.2177,2.7778,-1.0273,-3.4473,1.5563,-2.8358,-0.1516,0.8012,-1.9599,-3.4992,1.1989,-0.3557,0.7339,2.7628,-3.9420,1.2680,-0.4124]	y=78.6008
fes=150	x=[-1.1362,-1.1960,-0.9536,0.2177,2.7778,-1.0273,-3.4473,1.5563,-2.8358,-0.1516,0.8012,-1.9599,-3.4992,1.1989,-0.3557,0.7339,2.7628,-3.9420,1.2680,-0.4124]	y=78.6008
fes=200	x=[-1.1362,-1.1960,-0.9536,0.2177,2.7778,-1.0273,-3.4473,1.5563,-2.8358,-0.1516,0.8012,-1.9599,-3.4992,1.1989,-0.3557,0.7339,2.7628,-3.9420,1.2680,-0.4124]	y=78.6008
fes=250	x=[-0.1838,-1.1839,-0.9536,0.2177,1.1859,-0.2000,-3.4473,1.2880,-2.8358,0.1983,0.3826,-1.6690,-3.3628,1.1989,-1.5235,1.2678,1.3410,-3.0578,1.6253,-0.4124]	y=59.0280
fes=300	x=[0.9770,1.1945,1.1418,3.1057,-0.2913,0.2063,0.7821,-2.6464,2.4432,-1.0517,-0.0147,-2.2199,0.2759,0.7236,-0.7219,-0.0435,-0.0639,1.7393,-1.4697,-2.7853]	y=47.1467
fes=350	x=[0.9770,1.1945,1.1418,3.1057,-0.2913,0.2063,0.7821,-2.6464,2.4432,-1.0517,-0.0147,-2.2199,0.2759,0.7236,-0.7219,-0.0435,-0.0639,1.7393,-1.4697,-2.7853]	y=47.1467
fes=400	x=[0.9770,1.1945,1.1418,3.1057,-0.2913,0.2063,0.7821,-2.6464,2.4432,-1.0517,-0.0147,-2.2199,0.2759,0.7236,-0.7219,-0.0435,-0.0639,1.7393,-1.4697,-2.7853]	y=47.1467
fes=450	x=[-0.3365,-0.4663,0.7707,-2.8293,0.3518,-1.9429,-3.6784,-0.3990,-0.7140,0.1012,-0.3391,1.2216,-0.8126,-0.0923,1.0424,0.2552,-0.9056,2.3971,-1.0965,0.1530]	y=38.2573
fes=500	x=[-0.3365,-0.4663,0.7707,-2.8293,0.3518,-1.9429,-3.6784,-0.3990,-0.7140,0.1012,-0.3391,1.2216,-0.8126,-0.0923,1.0424,0.2552,-0.9056,2.3971,-1.0965,0.1530]	y=38.2573
fes=550	x=[-0.3365,-0.4663,0.7707,-2.8293,0.3518,-1.9429,-3.6784,-0.3990,-0.7140,0.1012,-0.3391,1.2216,-0.8126,-0.0923,1.0424,0.2552,-0.9056,2.3971,-1.0965,0.1530]	y=38.2573
fes=600	x=[-0.3365,-0.4663,0.7707,-2.8293,0.3518,-1.9429,-3.6784,-0.3990,-0.7140,0.1012,-0.3391,1.2216,-0.8126,-0.0923,1.0424,0.2552,-0.9056,2.3971,-1.0965,0.1530]	y=38.2573
fes=650	x=[-2.5517,-1.1323,-1.3960,-3.8123,-0.4391,-1.3135,1.4256,1.6738,-0.0717,-0.3605,0.9643,1.0066,-1.0616,0.2644,0.3769,-0.6688,-0.3772,-1.0317,0.2297,-1.1203]	y=37.4069
fes=700	x=[1.0946,1.0345,-2.7202,-1.7430,-0.3814,-1.9628,0.7377,0.3508,-0.2704,-0.0305,2.4074,0.0566,0.8651,-0.9909,-1.7811,1.3731,-1.0627,-0.6449,-0.2674,0.0507]	y=31.6512
