[train epoch=0 slice=8 indices=[611, 63, 778, 278, 376, 198, 961, 514, 346, 4, 71, 756, 733, 916, 138, 947, 690, 159, 78, 167]]
fes=50	x=[1.8697,-4.7422,0.3620,-2.5873,-0.7528,-1.1594,-4.6546,1.0727,-0.8830,-3.0778,0.8478,-0.5168,-1.0740,-0.2828,0.6923,1.8510,-0.5340,1.0470,4.7160,-2.8775]	y=105.8163
fes=1050	x=[0.1211,-0.1312,1.2905,0.6416,0.3297,-1.2333,0.5780,0.1511,-1.0988,0.7933,1.4070,0.2432,-1.3249,0.4092,-1.5564,0.1398,-1.1784,0.5106,-1.6311,-1.4855]	y=18.8522
fes=1100	x=[0.1211,-0.1312,1.2905,0.6416,0.3297,-1.2333,0.5780,0.1511,-1.0988,0.7933,1.4070,0.2432,-1.3249,0.4092,-1.5564,0.1398,-1.1784,0.5106,-1.6311,-1.4855]	y=18.8522
fes=1150	x=[-0.5211,-2.3985,0.0367,0.9601,-0.1701,-0.8946,0.8016,-0.8572,0.6407,-0.8677,-0.0473,-1.0884,-0.2970,0.7763,-0.9286,-1.5370,0.3632,1.3369,0.5128,0.4289]	y=17.7858
fes=1200	x=[-0.5211,-2.3985,0.0367,0.9601,-0.1701,-0.8946,0.8016,-0.8572,0.6407,-0.8677,-0.0473,-1.0884,-0.2970,0.7763,-0.9286,-1.5370,0.3632,1.3369,0.5128,0.4289]	y=17.7858
fes=1250	x=[-0.4734,-0.2197,-1.2780,-0.0173,0.7541,0.1704,0.2762,-0.7744,0.0934,0.1067,0.6461,-2.3627,-1.5340,-0.4217,-0.2044,-1.3506,0.3620,1.2548,-0.1593,0.8784]	y=16.0990
fes=1300	x=[-0.4734,-0.2197,-1.2780,-0.0173,0.7541,0.1704,0.2762,-0.7744,0.0934,0.1067,0.6461,-2.3627,-1.5340,-0.4217,-0.2044,-1.3506,0.3620,1.2548,-0.1593,0.8784]	y=16.0990
fes=1350	x=[0.3886,-0.2017,1.3372,-1.4101,-0.2028,0.8731,-0.7086,-0.1638,0.9643,1.0318,-1.0088,-0.0081,-0.0607,1.0326,-0.3749,-0.9861,0.6350,0.4023,-0.8942,0.7764]	y=12.4628
fes=1400	x=[0.6030,0.1969,0.7140,0.1785,0.8054,-0.6404,1.1463,0.6329,0.5117,-0.2472,1.4070,0.0030,-0.3038,-0.7338,1.4430,-0.6228,-1.1126,0.9200,-0.0346,0.2206]	y=11.2547
fes=1450	x=[0.6030,0.1969,0.7140,0.1785,0.8054,-0.6404,1.1463,0.6329,0.5117,-0.2472,1.4070,0.0030,-0.3038,-0.7338,1.4430,-0.6228,-1.1126,0.9200,-0.0346,0.2206]	y=11.2547
fes=1500	x=[0.6030,0.1969,0.7140,0.1785,0.8054,-0.6404,1.1463,0.6329,0.5117,-0.2472,1.4070,0.0030,-0.3038,-0.7338,1.4430,-0.6228,-1.1126,0.9200,-0.0346,0.2206]	y=11.2547
fes=1550	x=[0.6030,0.1969,0.7140,0.1785,0.8054,-0.6404,1.1463,0.6329,0.5117,-0.2472,1.4070,0.0030,-0.3038,-0.7338,1.4430,-0.6228,-1.1126,0.9200,-0.0346,0.2206]	y=11.2547
fes=1600	x=[-1.3778,1.4692,0.0578,0.3065,-0.3643,-0.2730,0.4922,-0.1050,0.2976,-0.9590,-1.0956,-0.1666,0.4308,0.0478,-0.0788,0.7562,-0.1513,-0.4186,0.0162,-0.9374]	y=8.6941
