[train epoch=0 slice=3 indices=[67, 23, 133, 770, 154, 663, 813, 795, 511, 634, 965, 980, 593, 204, 513, 828, 600, 9, 602, 657]]
fes=50	x=[2.0730,2.3983,-0.5488,-2.7837,-0.5880,-1.8286,0.9466,0.8604,0.2310,-4.5092,-4.6545,0.4249,-1.6567,-3.4934,1.2993,0.5823,2.3026,0.0799,0.6637,4.4428]	y=108.1194
fes=500	x=[0.9338,-1.4755,-0.3037,-2.0017,1.0341,0.8149,-1.4506,-0.0420,0.7884,-1.6819,-1.3803,2.2010,-2.9648,-0.3206,0.3144,-1.3038,-1.3397,-1.0544,1.3327,-1.1769]	y=37.9474
fes=550	x=[0.9338,-1.4755,-0.3037,-2.0017,1.0341,0.8149,-1.4506,-0.0420,0.7884,-1.6819,-1.3803,2.2010,-2.9648,-0.3206,0.3144,-1.3038,-1.3397,-1.0544,1.3327,-1.1769]	y=37.9474
fes=600	x=[0.9338,-1.4755,-0.3037,-2.0017,1.0341,0.8149,-1.4506,-0.0420,0.7884,-1.6819,-1.3803,2.2010,-2.9648,-0.3206,0.3144,-1.3038,-1.3397,-1.0544,1.3327,-1.1769]	y=37.9474
fes=650	x=[0.9338,-1.4755,-0.3037,-2.0017,1.0341,0.8149,-1.4506,-0.0420,0.7884,-1.6819,-1.3803,2.2010,-2.9648,-0.3206,0.3144,-1.3038,-1.3397,-1.0544,1.3327,-1.1769]	y=37.9474
fes=700	x=[0.3163,1.6774,-1.1297,-0.6258,-1.4923,1.2920,-1.9006,-0.5255,1.1505,-0.8744,-1.1788,1.5365,0.0841,0.0845,2.0247,-0.1828,-3.3854,0.0858,1.6212,-0.1649]	y=36.4757
fes=750	x=[0.3163,1.6774,-1.1297,-0.6258,-1.4923,1.2920,-1.9006,-0.5255,1.1505,-0.8744,-1.1788,1.5365,0.0841,0.0845,2.0247,-0.1828,-3.3854,0.0858,1.6212,-0.1649]	y=36.4757
fes=800	x=[0.3163,1.6774,-1.1297,-0.6258,-1.4923,1.2920,-1.9006,-0.5255,1.1505,-0.8744,-1.1788,1.5365,0.0841,0.0845,2.0247,-0.1828,-3.3854,0.0858,1.6212,-0.1649]	y=36.4757
fes=850	x=[0.3163,1.6774,-1.1297,-0.6258,-1.4923,1.2920,-1.9006,-0.5255,1.1505,-0.8744,-1.1788,1.5365,0.0841,0.0845,2.0247,-0.1828,-3.3854,0.0858,1.6212,-0.1649]	y=36.4757
fes=900	x=[0.3163,1.6774,-1.1297,-0.6258,-1.4923,1.2920,-1.9006,-0.5255,1.1505,-0.8744,-1.1788,1.5365,0.0841,0.0845,2.0247,-0.1828,-3.3854,0.0858,1.6212,-0.1649]	y=36.4757
fes=950	x=[0.3163,1.6774,-0.8388,-1.2796,-0.7025,1.2920,-1.4130,-0.8166,1.1505,-0.8744,-1.8619,1.8024,0.0841,-0.0530,1.8308,0.0172,-2.5160,0.0246,1.6212,-0.7098]	y=31.7094
fes=1000	x=[0.3163,1.6774,-0.8388,-1.2796,-0.7025,1.2920,-1.4130,-0.8166,1.1505,-0.8744,-1.8619,1.8024,0.0841,-0.0530,1.8308,0.0172,-2.5160,0.0246,1.6212,-0.7098]	y=31.7094
fes=1050	x=[0.3163,1.4599,-0.8388,-1.2796,-0.7025,1.2920,-1.4130,-0.8166,1.1505,-0.8744,-1.8619,1.8024,0.0841,-0.0530,1.8308,0.0172,-2.5160,0.0246,1.6212,-0.7098]	y=31.0271
