[train epoch=0 slice=4 indices=[637, 479, 380, 7, 47, 446, 298, 681, 368, 778, 103, 151, 752, 337, 232, 799, 621, 474, 454, 222]]
fes=50	x=[-2.0411,-3.1572,-1.9198,0.1894,-0.8043,-3.5955,-4.4101,1.5081,-1.9372,3.3492,-0.8631,-0.2266,-1.8734,-0.8501,2.0233,-1.9808,0.2017,1.3197,0.8017,-2.3592]	y=89.1602
fes=1150	x=[0.7983,-0.6013,1.0911,-0.7520,0.2999,-2.2213,0.4966,0.8077,-1.2028,0.1401,0.6902,-0.6212,-1.7904,-0.3748,-0.9353,-0.3703,-0.6081,1.1705,0.1444,0.4985]	y=17.3736
fes=1200	x=[0.7983,-0.6013,1.0911,-0.7520,0.2999,-2.2213,0.4966,0.8077,-1.2028,0.1401,0.6902,-0.6212,-1.7904,-0.3748,-0.9353,-0.3703,-0.6081,1.1705,0.1444,0.4985]	y=17.3736
fes=1250	x=[0.7983,-0.6013,1.0911,-0.7520,0.2999,-2.2213,0.4966,0.8077,-1.2028,0.1401,0.6902,-0.6212,-1.7904,-0.3748,-0.9353,-0.3703,-0.6081,1.1705,0.1444,0.4985]	y=17.3736
fes=1300	x=[0.0976,-0.1398,-0.0358,-0.3613,1.1763,-0.1680,-1.8866,0.9463,2.4201,-0.7057,-0.9185,-0.2676,-0.1666,-0.1996,0.9064,0.2026,-0.6858,-0.6730,0.9716,-0.0142]	y=16.0953
fes=1350	x=[0.0976,-0.1398,-0.0358,-0.3613,1.1763,-0.1680,-1.8866,0.9463,2.4201,-0.7057,-0.9185,-0.2676,-0.1666,-0.1996,0.9064,0.2026,-0.6858,-0.6730,0.9716,-0.0142]	y=16.0953
fes=1400	x=[0.5485,-0.5974,0.9084,-0.4381,0.3714,-2.0418,0.4716,0.8728,-1.0936,0.2489,0.6842,-1.2032,-1.4452,-0.6394,-0.7218,-0.2397,-0.4087,1.0452,0.1057,0.4985]	y=14.7346
fes=1450	x=[0.0976,-0.1398,-0.0358,-0.3613,1.1763,-0.1680,-1.8866,0.9463,-0.2324,-0.7057,-0.9185,-0.2676,-0.1666,-0.1996,0.9064,0.2026,-0.6858,-0.6730,0.9716,-0.0142]	y=10.2923
fes=1500	x=[0.0976,-0.1398,-0.0358,-0.3613,1.1763,-0.1680,-1.8866,0.9463,-0.2324,-0.7057,-0.9185,-0.2676,-0.1666,-0.1996,0.9064,0.2026,-0.6858,-0.6730,0.9716,-0.0142]	y=10.2923
fes=1550	x=[0.1925,0.7020,1.5495,-0.7850,-0.8784,0.2456,-0.6122,0.4289,0.8783,-0.1294,0.0312,0.3970,-0.6493,0.6475,1.0395,0.3320,-0.8251,0.1623,0.2877,-0.3273]	y=8.8131
fes=1600	x=[0.1925,0.7020,1.5495,-0.7850,-0.8784,0.2456,-0.6122,0.4289,0.8783,-0.1294,0.0312,0.3970,-0.6493,0.6475,1.0395,0.3320,-0.8251,0.1623,0.2877,-0.3273]	y=8.8131
