[train epoch=0 slice=5 indices=[249, 735, 815, 556, 354, 599, 56, 106, 561, 754, 772, 63, 512, 19, 257, 808, 787, 483, 835, 943]]
fes=50	x=[-3.7233,-2.6569,0.7026,-4.3437,2.9718,-3.4834,1.9659,0.5551,0.6928,1.6438,-0.0220,-1.7474,0.4544,-1.5704,0.0018,0.0500,-0.9917,3.7917,2.6377,0.2824]	y=96.7308
fes=600	x=[0.0437,-0.3112,0.5751,0.6053,1.9063,-1.5516,-0.8052,-2.3136,0.7763,1.2608,-2.1794,-0.7910,-0.2035,-1.4717,0.3449,0.6591,0.3949,2.5098,-0.6537,0.2368]	y=30.1053
fes=650	x=[0.0437,-0.3112,0.5751,0.6053,1.9063,-1.5516,-0.8052,-2.3136,0.7763,1.2608,-2.1794,-0.7910,-0.2035,-1.4717,0.3449,0.6591,0.3949,2.5098,-0.6537,0.2368]	y=30.1053
fes=700	x=[0.0437,-0.3112,0.5751,0.6053,1.9063,-1.5516,-0.8052,-2.3136,0.7763,1.2608,-2.1794,-0.7910,-0.2035,-1.4717,0.3449,0.6591,0.3949,2.5098,-0.6537,0.2368]	y=30.1053
fes=750	x=[0.0437,1.3519,0.5751,0.6053,-2.1591,-1.5516,-1.4245,-0.6052,-2.4350,-0.2813,0.6217,-0.7910,-0.2035,-0.1074,0.2336,-0.9388,0.3949,2.5098,-0.4007,1.2936]	y=28.2896
fes=800	x=[0.0437,1.3519,0.5751,0.6053,-2.1591,-1.5516,-1.4245,-0.6052,-2.4350,-0.2813,0.6217,-0.7910,-0.2035,-0.1074,0.2336,-0.9388,0.3949,2.5098,-0.4007,1.2936]	y=28.2896
fes=850	x=[0.0437,1.3519,0.5751,0.6053,-2.1591,-1.5516,-1.4245,-0.6052,-2.4350,-0.2813,-0.0988,-0.7910,-0.2035,-0.1074,0.2336,-0.9388,0.3949,2.5098,-0.4007,1.2936]	y=27.9128
fes=900	x=[0.9793,0.7560,2.1368,-1.2701,1.1768,0.0442,-0.4716,-0.7851,0.5115,0.5834,1.2466,0.1045,-0.0416,-0.9290,0.7164,-0.3847,2.5468,0.9335,1.9075,-1.5366]	y=26.9854
fes=950	x=[-0.7971,-1.1636,2.3345,-0.6539,0.3805,-0.7287,1.0728,-0.1849,-1.9488,-0.6552,-0.2137,-0.5319,-0.2043,-1.5314,0.8235,-0.7932,0.3498,-0.0736,1.6124,0.0456]	y=20.7077
fes=1000	x=[-0.7971,-1.1636,2.3345,-0.6539,0.3805,-0.7287,1.0728,-0.1849,-1.9488,-0.6552,-0.2137,-0.5319,-0.2043,-1.5314,0.8235,-0.7932,0.3498,-0.0736,1.6124,0.0456]	y=20.7077
fes=1050	x=[0.3459,1.5657,1.2098,-0.8091,-0.6053,2.0722,-0.2438,-2.1146,-0.7563,-0.2574,-0.5101,-1.2247,-0.4982,-0.0778,0.2669,-0.1069,-0.7789,-0.4392,-0.5729,0.3729]	y=17.8825
fes=1100	x=[0.3121,0.5821,0.5591,-0.5347,-0.5954,-0.5985,-0.5344,-0.4980,-1.1568,-0.7218,0.5355,-0.9226,0.1370,0.9058,-1.3945,0.2671,-0.2967,-2.3952,-1.2437,0.0214]	y=15.5060
