[train epoch=0 slice=6 indices=[916, 292, 4, 285, 539, 928, 813, 585, 149, 600, 845, 760, 104, 449, 236, 471, 138, 423, 74, 820]]
fes=50	x=[0.3589,1.6943,3.9673,-2.2179,2.7811,1.1641,-0.8454,4.4640,-1.4074,-2.2124,-2.2810,0.2141,-1.8703,-2.0810,-3.2401,2.3709,3.2160,-2.3251,-1.3359,1.4933]	y=109.2246
fes=1650	x=[-0.3989,1.6022,0.2542,-0.9653,-0.0656,-0.4595,0.0328,-0.2067,-0.8379,0.0388,0.6611,-0.1414,0.5907,0.7899,-0.2025,-0.1618,-0.4408,-0.2126,0.5642,-0.1434]	y=6.7611
fes=1700	x=[-0.3989,1.6022,0.2542,-0.9653,-0.0656,-0.4595,0.0328,-0.2067,-0.8379,0.0388,0.6611,-0.1414,0.5907,0.7899,-0.2025,-0.1618,-0.4408,-0.2126,0.5642,-0.1434]	y=6.7611
fes=1750	x=[-0.5790,0.2106,0.2978,0.5655,-0.1286,-0.3597,-0.7870,0.2675,-0.4890,0.5325,-0.4505,-0.1419,0.3761,1.0262,-0.1656,-1.2766,-0.3938,0.9419,-0.1163,0.0051]	y=6.2783
fes=1800	x=[-0.5790,0.2106,0.2978,0.5655,-0.1286,-0.3597,-0.7870,0.2675,-0.4890,0.5325,-0.4505,-0.1419,0.3761,1.0262,-0.1656,-1.2766,-0.3938,0.9419,-0.1163,0.0051]	y=6.2783
fes=1850	x=[-0.5790,0.2106,0.2978,0.5655,-0.1286,-0.3597,-0.7870,0.2675,-0.4890,0.5325,-0.4505,-0.1419,0.3761,1.0262,-0.1656,-0.6641,-0.3938,0.9419,-0.1163,0.0051]	y=5.0895
fes=1900	x=[-0.2003,-0.5614,-0.4527,-0.4777,0.4323,-0.0745,-0.3230,1.0761,0.0381,-0.2868,0.1955,0.3634,-0.2542,0.0614,0.0312,0.0046,-1.1224,-0.7475,0.1619,-0.1001]	y=4.4213
fes=1950	x=[-0.2003,-0.5614,-0.4527,-0.4777,0.4323,-0.0745,-0.3230,1.0761,0.0381,-0.2868,0.1955,0.3634,-0.2542,0.0614,0.0312,0.0046,-1.1224,-0.7475,0.1619,-0.1001]	y=4.4213
fes=2000	x=[-0.2003,-0.5614,-0.4527,-0.4777,0.4323,-0.0745,-0.3230,1.0761,0.0381,-0.2868,0.1955,0.3634,-0.2542,0.0614,0.0312,0.0046,-1.1224,-0.7475,0.1619,-0.1001]	y=4.4213
fes=50	x=[-1.4517,0.6957,-0.4224,-1.1171,-0.0045,-1.2893,1.2019,0.7361,3.4869,-1.4814,0.0796,0.7627,-2.8802,-2.2940,-3.3924,-1.2899,-0.0431,-1.7406,0.5017,-3.8855]	y=67.7182
fes=100	x=[-1.4517,0.6957,-0.4224,-1.1171,-0.0045,-1.2893,1.2019,0.7361,3.4869,-1.4814,0.0796,0.7627,-2.8802,-2.2940,-3.3924,-1.2899,-0.0431,-1.7406,0.5017,-3.8855]	y=67.7182
fes=150	x=[-1.4517,0.6957,-0.4224,-1.1171,-0.0045,-1.2893,1.2019,0.7361,3.4869,-1.4814,0.0796,0.7627,-2.8802,-2.2940,-3.3924,-1.2899,-0.0431,-1.7406,0.5017,-3.8855]	y=67.7182
fes=200	x=[-1.4517,0.6957,-0.4224,-1.1171,-0.0045,-1.2893,1.2019,0.7361,3.4869,-1.4814,0.0796,0.7627,-2.8802,-2.2940,-3.3924,-1.2899,-0.0431,-1.7406,0.5017,-3.8855]	y=67.7182
fes=250	x=[2.6547,0.4698,-0.1384,-1.8901,-0.8153,-0.9399,-1.7923,4.9309,1.5845,1.0338,-0.2906,3.1392,-0.3907,-0.7245,1.9125,1.9956,1.1460,-0.0553,1.6777,-0.0196]	y=65.9017
fes=300	x=[-2.6993,-0.2396,-3.5113,-0.9303,-1.6746,-1.0356,1.4222,-1.5811,2.3312,-0.2111,3.3832,-0.4326,-0.2970,1.2414,-0.8918,-0.9332,2.9031,-0.2086,-1.0834,-0.0073]	y=58.9903
